epoch,train_loss,val_loss
0,0.5834560507819766,0.5572552382946014
1,0.5583621575718835,0.5485695898532867
2,0.5458235485213143,0.5376868844032288
3,0.5318171467099871,0.5248526930809021
4,0.518889674118587,0.5159173011779785
5,0.5063425302505493,0.507031112909317
6,0.5007407565911611,0.4990798085927963
7,0.49442792648360845,0.49452444911003113
8,0.4901566704114278,0.48896779119968414
9,0.4891447183631715,0.48962579667568207
10,0.48693141766956877,0.4833531528711319
11,0.48520998585791814,0.4830949902534485
12,0.48383812393460957,0.4812058061361313
13,0.4825452551955268,0.4848642796278
14,0.4811026794569833,0.4823179692029953
15,0.48062348507699515,0.48170556128025055
16,0.48034022251764935,0.4809704124927521
17,0.47897609926405404,0.4821690618991852
18,0.47768035247212365,0.48095567524433136
19,0.4778398474057515,0.4795335382223129
20,0.47701865150814965,0.4810746759176254
21,0.47661331437882926,0.4833035171031952
22,0.475733893258231,0.47889693081378937
23,0.474883679832731,0.4800815135240555
24,0.47479305380866643,0.47858721017837524
25,0.4734073011648087,0.4787899851799011
26,0.473525698695864,0.47891245782375336
27,0.4733400202932812,0.47949227690696716
28,0.4730816767329261,0.47967933118343353
29,0.47295028397015165,0.48001912236213684
30,0.4726321754001436,0.4787789136171341
31,0.47178814098948524,0.48120491206645966
32,0.4713235412325178,0.47888895869255066
33,0.4714184445994241,0.4807809889316559
34,0.4716540929817018,0.478523924946785
35,0.47006533827100483,0.4792064130306244
36,0.47073893887656076,0.4830781817436218
37,0.4699385464191437,0.47931884229183197
38,0.4686288407870701,0.4829943776130676
39,0.4692731329372951,0.47976039350032806
40,0.4686212497098105,0.48020006716251373
41,0.4683648489770435,0.48038920760154724
42,0.467215637365977,0.4813421964645386
43,0.46656194187345956,0.48116809129714966
44,0.46550833753177095,0.4827774614095688
45,0.4656026576246534,0.48004284501075745
46,0.46613569486708867,0.4799892157316208
47,0.46469873048010324,0.483186736702919
48,0.4638756314913432,0.47998756170272827
49,0.46318857300849187,0.48234692215919495
50,0.4644107222557068,0.48012833297252655
51,0.46207156493550255,0.48311400413513184
52,0.4626546133132208,0.4829898923635483
53,0.4618403372310457,0.4837183505296707
54,0.4613980438028063,0.48375584185123444
55,0.46062107171331135,0.48307739198207855
56,0.46013100090480985,0.4845946133136749
57,0.4604251441501436,0.4833282381296158
58,0.4593770461423056,0.48636434972286224
59,0.458976312762215,0.48195675015449524
60,0.4581830643472217,0.4864826798439026
61,0.45759191115697223,0.4861946254968643
62,0.45678055144491647,0.48504549264907837
63,0.4568856628168197,0.4842943996191025
64,0.4555528774147942,0.48578019440174103
