epoch,train_loss,val_loss
0,0.6332764767465138,0.6137100458145142
1,0.6026327780314854,0.588597983121872
2,0.5898971046720233,0.5829438865184784
3,0.583185559227353,0.5740395188331604
4,0.5738627342950731,0.5618813931941986
5,0.5614352311406817,0.5481842458248138
6,0.5506522400038583,0.537840336561203
7,0.5439703322592235,0.5348658561706543
8,0.5387712802205767,0.5298418998718262
9,0.5336149647122338,0.5220691561698914
10,0.5300215993608747,0.5208085775375366
11,0.5288938596135094,0.5179041028022766
12,0.5251906003270831,0.5183035433292389
13,0.5231370897520156,0.5153858363628387
14,0.5218890053885323,0.5140085816383362
15,0.5215807784171331,0.5137799680233002
16,0.518924681913285,0.5128343105316162
17,0.5180951839401609,0.5123474299907684
18,0.5177787372044155,0.5122408866882324
19,0.5183524375870114,0.514678567647934
20,0.5169795382590521,0.5085383951663971
21,0.5160977514017195,0.5093260705471039
22,0.5152173695110139,0.5092083513736725
23,0.5149339607783726,0.5095758438110352
24,0.5144083230268388,0.5119672119617462
25,0.514087804726192,0.5103345215320587
26,0.5141158444540841,0.5097745656967163
27,0.5137397476605007,0.5091001093387604
28,0.5128574115889413,0.5077379643917084
29,0.5123733963285174,0.5088623762130737
30,0.5108618111837477,0.506226509809494
31,0.5106932946613857,0.5078003406524658
32,0.5113126096271333,0.5062931180000305
33,0.5112374027570089,0.5080216825008392
34,0.5100434521834055,0.508078545331955
35,0.509701342809768,0.5078607201576233
36,0.5106612344582876,0.5079240202903748
37,0.5091730980646043,0.5091299712657928
38,0.5083806784380049,0.5073567628860474
39,0.5080980885596502,0.5083748698234558
40,0.508002058381126,0.5092935562133789
41,0.5084153584071568,0.5104595124721527
42,0.5081181483609336,0.5081490278244019
43,0.5082403421401978,0.5081519186496735
44,0.5075693627198538,0.5085627138614655
45,0.5081156634149098,0.5085039436817169
46,0.5078401139804295,0.5076974034309387
47,0.5076584773404258,0.5084322094917297
48,0.5066296472435906,0.5069721639156342
49,0.5052804152170817,0.5077058970928192
50,0.5057250530946822,0.5095764696598053
51,0.5051331122716268,0.5068610310554504
52,0.5064305180595035,0.5096055269241333
53,0.505944508881796,0.511117547750473
54,0.5036717922914595,0.5096804797649384
55,0.5047234580630348,0.5097813308238983
56,0.5030755670297713,0.5097349286079407
57,0.5034170874527523,0.5117692053318024
58,0.503893297343027,0.5107876658439636
59,0.5029321625119164,0.5098740458488464
60,0.5025375826018197,0.5083829164505005
