epoch,epoch_time
1,6.032270908355713
2,5.5770721435546875
3,5.694282293319702
4,5.621283054351807
5,5.703691244125366
6,5.668501615524292
7,5.657666444778442
8,5.724806070327759
9,5.632835149765015
10,5.799395561218262
11,5.6766676902771
12,5.72098445892334
13,5.669762849807739
14,5.781517028808594
15,5.828083515167236
16,5.61696982383728
17,5.658145427703857
18,5.745063543319702
19,5.6454901695251465
20,5.6331586837768555
21,5.507544755935669
22,5.6250715255737305
23,5.954735040664673
24,5.889947891235352
25,5.799176216125488
total,142.8641231060028
